title,category,listing_image_url,hero_image_url,detail_url,local_path,labels_openai
"The Top Restaurants In Tupelo, Mississippi",,https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2014/09/beth-drestaurants-in-manchester-unsplash.webp?quality=1,https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2014/09/beth-drestaurants-in-manchester-unsplash.webp,https://theculturetrip.com/north-america/usa/mississippi/articles/tupelo-s-top-10-restaurants-local-mississippi-eats,Scraped_Images/img53.webp,
"The Best Things to See and Do on the Upper West Side, Manhattan",,https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2026/01/steve-strang-wh44x8kjkzk-unsplash.webp?quality=1,https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2026/01/steve-strang-wh44x8kjkzk-unsplash.webp,https://theculturetrip.com/north-america/usa/new-york-city/articles/10-things-to-do-and-see-in-the-upper-west-side,Scraped_Images/img54.webp,
The 7 Coolest Neighborhoods in Boston,,https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2025/12/shutterstock_2112035366-e1765274125990.webp?quality=1,https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2025/12/shutterstock_2112035366-e1765274125990.webp,https://theculturetrip.com/north-america/usa/boston/articles/the-coolest-neighborhoods-in-boston,Scraped_Images/img55.webp,
A Guide to Boston's 23 Neighborhoods,,https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2025/06/kareya-saleh-spyy5bzwx5y-unsplash.webp?quality=1,https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2025/06/kareya-saleh-spyy5bzwx5y-unsplash.webp,https://theculturetrip.com/north-america/usa/boston/articles/a-guide-to-bostons-23-neighborhoods,Scraped_Images/img56.webp,
8 Affordable Warm-Weather Getaways From New York City,,https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2025/06/shutterstock_2324054961-e1750060324165.webp?quality=1,https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2025/06/shutterstock_2324054961-e1750060324165.webp,https://theculturetrip.com/north-america/usa/new-york-city/articles/8-affordable-warm-weather-getaways-from-nyc,Scraped_Images/img57.webp,
"The 13 Most Beautiful Towns in Georgia, USA",,https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2025/09/abigail-ducote-lfuardiszru-unsplash.webp?quality=1,https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2025/09/abigail-ducote-lfuardiszru-unsplash.webp,https://theculturetrip.com/north-america/usa/articles/the-10-most-beautiful-towns-in-georgia,Scraped_Images/img58.webp,
"The Best Ski Resorts in Lake Tahoe, California",,https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2021/01/the-ritz-carlton-lake-tahoe-1.webp?quality=1,https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2021/01/the-ritz-carlton-lake-tahoe-1.webp,https://theculturetrip.com/north-america/usa/california/articles/the-best-ski-resorts-in-lake-tahoe-california,Scraped_Images/img59.webp,
The 14 Best Hot Springs in the United States,,https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2024/06/shutterstock_1872024274-e1759393009492.webp?quality=1,https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2024/06/shutterstock_1872024274-e1759393009492.webp,https://theculturetrip.com/north-america/usa/articles/10-of-the-most-amazing-hot-springs-in-the-united-states,Scraped_Images/img60.webp,
"The 9 Best Classic Diners in Manhattan, New York City",,https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2020/01/pctp00014-oldestfoodbusinesses-newyork-usa-zahoran-03.webp?quality=1,https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2020/01/pctp00014-oldestfoodbusinesses-newyork-usa-zahoran-03.webp,https://theculturetrip.com/north-america/usa/new-york-city/articles/ten-best-diners-in-manhattan,Scraped_Images/img61.webp,
Top 10 Things to Do in Louisiana For an Incredible Trip,,https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2025/07/shutterstock_2536580483-e1753444736367.webp?quality=1,https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2025/07/shutterstock_2536580483-e1753444736367.webp,https://theculturetrip.com/north-america/usa/louisiana/articles/top-things-to-do-in-louisiana,Scraped_Images/img62.webp,
